Total Male Letters: 60, Total Female Letters: 60


 Total words found in Male letters and Female letters including Odds Ratio (>1 more likely appears in Male letters):

 ability: Male 749, Female 826, score 0.9047229561563876

 standout: Male 352, Female 353, score 0.998193302846679

 masculine: Male 324, Female 329, score 0.985645991667512

 feminine: Male 240, Female 263, score 0.9126257434126694

 agentic: Male 98, Female 105, score 0.9340465577760804

 communal: Male 110, Female 102, score 1.0799408823691665

 career: Male 153, Female 114, score 1.3457540857859147

 family: Male 43, Female 53, score 0.8118393103701816

 leadership: Male 134, Female 137, score 0.9790164639244908

