Total Male Letters: 60, Total Female Letters: 60


 Total words found in Male letters and Female letters including Odds Ratio (>1 more likely appears in Male letters):

 ability: Male 637, Female 628, score 1.029460407297016

 standout: Male 228, Female 285, score 0.8094255672368564

 masculine: Male 270, Female 321, score 0.8512692304274208

 feminine: Male 198, Female 212, score 0.9466949264501728

 agentic: Male 22, Female 29, score 0.769121489961604

 communal: Male 105, Female 131, score 0.8119953049854925

 career: Male 297, Female 321, score 0.9374982488661471

 family: Male 144, Female 139, score 1.0509134996969565

 leadership: Male 190, Female 207, score 0.9302639707841277

